a.accountNumber,a.pagerank,a.degree,a.in_degree,a.out_degree,a.betweenness,a.community_id,a.community_size,a.triangle_count,a.cycle_count,a.intermediate_accounts,a.is_fraud,a.fraud_score
ACC00412,1.314735960019636,5.0,11.0,5.0,74538.02186756917,8492,679,1,4,1,1,0.6949914067870757
ACC03755,1.0152647097138945,8.0,9.0,8.0,95374.31070818873,7356,726,1,4,1,1,0.6858761249338274
ACC09201,1.2243222423657267,6.0,9.0,6.0,64225.58822377083,1453,312,1,4,1,1,0.6849920005332977
ACC05598,0.3112792322613735,3.0,3.0,3.0,7171.979937843732,7266,168,1,6,1,1,0.6825166638893517
ACC07905,2.4506690200862136,12.0,15.0,12.0,242249.33085749188,8946,401,1,3,1,1,0.6811069960371837
ACC05430,1.4849465844625436,12.0,12.0,12.0,140017.2895079003,3568,865,2,3,1,1,0.6800041664930627
ACC04707,1.0539558931969741,12.0,4.0,12.0,83308.30768281239,6075,63,1,2,1,1,0.6800031248046997
ACC07312,0.4958329420538361,20.0,4.0,20.0,69241.30327134764,8492,679,1,0,1,1,0.6766680554976876
ACC08387,0.8954704907396857,6.0,2.0,6.0,33180.33778193471,3038,126,1,3,1,1,0.6750062492188476
ACC01770,2.0139625290661907,7.0,16.0,7.0,124035.48427464705,5018,678,1,3,1,1,0.6716243858962653
ACC01176,1.2400808058479473,12.0,12.0,12.0,123078.98226148468,7356,726,1,3,1,1,0.6700041664930627
ACC00932,0.37457592605439055,17.0,2.0,17.0,43147.14921472427,6803,545,1,0,1,1,0.6664484763959792
ACC04075,0.4446636754040919,18.0,2.0,18.0,68051.33293480915,6200,433,0,0,1,1,0.6650009999500025
ACC04181,0.9203726698377032,3.0,12.0,3.0,45682.469391911116,7356,726,1,3,1,1,0.6624893340443969
ACC09594,1.03380698589825,6.0,13.0,6.0,82105.14697989599,3668,708,1,3,1,1,0.6618349034261354
ACC08236,0.8122433262298753,21.0,5.0,21.0,98475.35168853989,6803,545,0,0,1,1,0.6615399407715088
ACC00190,0.36831008286739836,15.0,1.0,15.0,47031.292766868406,8492,679,1,0,1,1,0.660000781201175
ACC06319,1.3782376585311444,4.0,12.0,4.0,64532.53074828573,3668,708,1,3,1,1,0.6599906255859008
ACC03892,0.435453103568311,19.0,4.0,19.0,59299.5725521499,5077,376,0,0,1,1,0.6577189035259335
ACC08601,1.0336731072383682,4.0,11.0,4.0,114279.59204692044,3568,865,1,3,1,1,0.6566568895406972
ACC08647,0.3421776698989784,17.0,2.0,17.0,30359.11128002677,2535,424,0,0,1,1,0.6564484763959791
ACC07969,1.4262621071261856,25.0,7.0,25.0,206142.24518767613,5018,678,0,0,1,1,0.6562513671447767
ACC00881,0.9746725444650064,21.0,6.0,21.0,136591.00883325862,9101,344,0,0,1,1,0.6555572015851264
ACC03015,1.0264802011448904,20.0,6.0,20.0,159639.70492745418,5615,410,0,0,1,1,0.6538479289258106
ACC06567,1.3894344002203245,9.0,10.0,9.0,108023.80407629353,8946,401,1,3,1,1,0.6527576180201041
ACC06570,1.2971449135076087,8.0,10.0,8.0,97238.51395294424,6200,433,1,3,1,1,0.6511049386145215
ACC08743,1.2621722773682111,8.0,10.0,8.0,83548.93344730377,7356,726,1,3,1,1,0.6511049386145215
ACC08086,0.6343876946228776,13.0,10.0,13.0,99992.97314118514,3568,865,1,2,1,1,0.6505472588148342
ACC08401,0.9755851883956023,13.0,4.0,13.0,60254.33808004109,1453,312,1,1,1,1,0.6504439444738546
ACC04516,1.2349333017629986,7.0,10.0,7.0,59995.55673674335,2535,424,1,3,1,1,0.6501401388153637
ACC05020,0.26952738692120964,15.0,1.0,15.0,21131.507555963617,5826,257,0,0,1,1,0.650000781201175
ACC01273,0.19366734931047197,15.0,1.0,15.0,6123.175228213027,1651,133,0,0,1,1,0.650000781201175
ACC06204,0.8224122603873574,7.0,5.0,7.0,51781.13915300516,5018,678,1,3,1,1,0.6491736105324556
ACC07307,0.4437512502079881,7.0,5.0,7.0,34109.866282746254,3668,708,1,3,1,1,0.6491736105324556
ACC06043,0.9146222316651899,7.0,8.0,7.0,42805.603923373914,6870,959,2,3,1,1,0.649159556029598
ACC01227,0.33586386198440105,15.0,2.0,15.0,39797.31152885953,5073,591,1,0,1,1,0.6489719722369273
ACC05362,0.3442920162379467,16.0,2.0,16.0,47166.7206877114,7356,726,0,0,1,1,0.6477790122770957
ACC05116,0.5877388706507681,16.0,2.0,16.0,62310.53225782109,7266,168,0,0,1,1,0.6477790122770957
ACC09942,0.5335773533939884,16.0,2.0,16.0,50086.23152904226,3568,865,0,0,1,1,0.6477790122770957
ACC00043,0.3894694970426821,16.0,2.0,16.0,78708.08347152892,3668,708,0,0,1,1,0.6477790122770957
ACC06486,1.5149604062757902,12.0,14.0,12.0,151422.4083739992,4657,406,2,2,1,1,0.6476881658397754
ACC08459,1.4519661968082727,9.0,9.0,9.0,109544.66796328034,8492,679,1,3,1,1,0.6475055552469307
ACC09074,0.6401161942666429,17.0,3.0,17.0,103910.32059731084,1453,312,0,0,1,1,0.6475014999250037
ACC06133,0.6213574943873755,17.0,3.0,17.0,63574.05098780941,3568,865,0,0,1,1,0.6475014999250037
ACC00023,0.9236483313153387,8.0,7.0,8.0,102921.65219502989,7356,726,1,3,1,1,0.6466728884741018
ACC00052,2.266689631247929,8.0,7.0,8.0,75683.26861069282,3568,865,1,3,1,1,0.6466728884741018
ACC04752,0.6349826146632415,8.0,7.0,8.0,63194.62277467917,5018,678,1,3,1,1,0.6466728884741018
ACC00377,0.4131949207310593,9.0,4.0,9.0,50931.26139623196,6803,545,1,2,1,1,0.6459662718252442
ACC08750,0.8631842531423741,8.0,9.0,8.0,54686.397460110915,9101,344,1,3,1,1,0.6458761249338274
ACC02216,1.2195985262773796,19.0,6.0,19.0,200944.10923097676,7266,168,0,0,1,1,0.6445019199232029
ACC02567,0.7238702154891518,19.0,6.0,19.0,142272.08785400155,3568,865,0,0,1,1,0.6445019199232029
ACC09769,3.4943984300579634,7.0,22.0,7.0,113085.12732748849,2535,424,1,2,1,1,0.6442189062446123
ACC07126,0.5659949157392524,5.0,3.0,5.0,17125.483260081815,2535,424,1,3,1,1,0.6425093738282714
ACC03654,1.5205505110581459,3.0,7.0,3.0,25181.307188491857,2535,424,1,3,1,1,0.6424860013998599
ACC07835,0.49850998368195903,16.0,5.0,16.0,80118.47381317728,3568,865,2,0,1,1,0.6423832198466739
ACC06772,1.6908565827632347,14.0,8.0,14.0,175269.08927465993,6870,959,2,1,1,1,0.6422760329075952
ACC06519,0.2597463297208058,14.0,1.0,14.0,26255.461462577874,6803,545,0,0,1,1,0.6416675554963002
ACC08122,0.21145423101739028,14.0,1.0,14.0,17469.020092139144,6870,959,0,0,1,1,0.6416675554963002
ACC09360,0.28805161887172986,14.0,1.0,14.0,20539.573865665978,8946,401,0,0,1,1,0.6416675554963002
ACC05475,0.6512550606205275,14.0,1.0,14.0,41168.57803349917,5615,410,0,0,1,1,0.6416675554963002
ACC08425,1.2381109630727727,21.0,11.0,21.0,216931.4841434922,3668,708,1,0,1,1,0.6412521483703634
ACC06897,0.9222387578815109,5.0,8.0,5.0,48763.85594098611,3792,232,1,3,1,1,0.6405674563495115
ACC00869,1.4128477777903816,5.0,8.0,5.0,67843.51324343777,3568,865,1,3,1,1,0.6405674563495115
ACC05926,1.028303990852289,5.0,8.0,5.0,65024.34012303998,1453,312,1,3,1,1,0.6405674563495115
ACC08443,1.2627598470776922,21.0,9.0,21.0,168408.53122596326,5077,376,0,0,1,1,0.6400019999333355
ACC08181,0.691936907582047,17.0,4.0,17.0,42506.23512972219,7356,726,0,0,1,1,0.6394065758773392
ACC00112,0.46326483278959746,15.0,3.0,15.0,67826.40190189469,6803,545,1,0,1,1,0.6391685184156436
ACC08445,0.28543796495588586,15.0,2.0,15.0,32809.55952173202,2535,424,0,0,1,1,0.6389719722369273
ACC08710,0.4702259770394559,15.0,2.0,15.0,37225.89506891633,5615,410,0,0,1,1,0.6389719722369273
ACC01846,0.6478144584638581,15.0,2.0,15.0,54348.957581959425,7266,168,0,0,1,1,0.6389719722369273
ACC04936,0.5755392580430175,15.0,2.0,15.0,82220.85250620404,3668,708,0,0,1,1,0.6389719722369273
ACC04146,0.2938570204528155,16.0,3.0,16.0,23912.026504050587,6200,433,0,0,1,1,0.6384227145939687
ACC01264,1.1269166398459314,16.0,3.0,16.0,92431.75335293214,8946,401,0,0,1,1,0.6384227145939687
ACC00906,0.4913170891511581,16.0,3.0,16.0,53273.65487993568,7356,726,0,0,1,1,0.6384227145939687
ACC07895,0.44573867632719594,16.0,3.0,16.0,67764.60523998752,3568,865,0,0,1,1,0.6384227145939687
ACC03469,0.49514903976158725,16.0,3.0,16.0,52030.767285611255,4657,406,0,0,1,1,0.6384227145939687
ACC03772,0.4584829188954993,16.0,3.0,16.0,43819.02774228858,5077,376,0,0,1,1,0.6384227145939687
ACC01445,2.159369126425915,20.0,9.0,20.0,205022.17594895593,3568,865,0,0,1,1,0.6379331747181132
ACC08368,1.1105798282175763,13.0,7.0,13.0,159793.50109129047,6803,545,2,1,1,1,0.6375034998250088
ACC09211,0.6907300473271498,18.0,6.0,18.0,103614.36489283589,6803,545,0,0,1,1,0.6350020832465314
ACC02019,0.47521873537082576,18.0,6.0,18.0,72553.27409273516,6803,545,0,0,1,1,0.6350020832465314
ACC09591,0.8200638406788723,18.0,6.0,18.0,138241.87188679323,3568,865,0,0,1,1,0.6350020832465314
ACC06718,0.9367165192361769,18.0,6.0,18.0,153489.86179589585,3568,865,0,0,1,1,0.6350020832465314
ACC04738,0.22393500630133298,12.0,1.0,12.0,14502.338810054684,6870,959,1,0,1,1,0.6346165679563109
ACC04836,0.8380227556109577,8.0,4.0,8.0,45123.973970482395,2535,424,1,2,1,1,0.6333388884259645
ACC06558,1.3363478853425002,19.0,8.0,19.0,159244.46193179575,8492,679,0,0,1,1,0.6332429354468352
ACC08375,1.0929785747267862,19.0,8.0,19.0,174414.91995784783,6803,545,0,0,1,1,0.6332429354468352
ACC08883,0.33564180735969573,13.0,1.0,13.0,24115.391371482237,8946,401,0,0,1,1,0.6332153060495679
ACC04803,0.2779835210487113,13.0,1.0,13.0,24907.948024653087,8492,679,0,0,1,1,0.6332153060495679
ACC07699,0.6104567194077009,13.0,1.0,13.0,28955.937765358463,6803,545,0,0,1,1,0.6332153060495679
ACC08053,0.19690165416262106,13.0,1.0,13.0,9668.51564499305,7356,726,0,0,1,1,0.6332153060495679
ACC00383,0.4080550185980362,13.0,1.0,13.0,47792.72218969461,2535,424,0,0,1,1,0.6332153060495679
ACC00487,0.7644470194667385,13.0,1.0,13.0,32863.07516810403,7266,168,0,0,1,1,0.6332153060495679
ACC09280,0.5211858564050036,6.0,7.0,6.0,37046.3018741628,3568,865,1,3,1,1,0.6326840243058225
ACC03496,1.5612493897469788,7.0,7.0,7.0,95106.60738030597,5018,678,1,3,1,1,0.6325071423469751
ACC03656,0.8343179513952793,17.0,5.0,17.0,138199.88262558167,6200,433,0,0,1,1,0.632047520567247
ACC05407,0.6084149871098606,17.0,5.0,17.0,85864.3768716498,5073,591,0,0,1,1,0.632047520567247
ACC08123,0.5349096656774576,17.0,5.0,17.0,101484.29160970563,6870,959,0,0,1,1,0.632047520567247
ACC02410,1.117957195632543,17.0,5.0,17.0,91859.45555107745,7266,168,0,0,1,1,0.632047520567247
ACC02618,0.5932804870226681,13.0,2.0,13.0,33911.46096937991,5826,257,1,0,1,1,0.6308351109926005
ACC02787,0.24446166616055645,13.0,2.0,13.0,35211.884416492976,3668,708,1,0,1,1,0.6308351109926005
ACC09288,0.3620834843620432,13.0,2.0,13.0,33283.993017289285,7356,726,1,0,1,1,0.6308351109926005
ACC07374,0.49636032824849696,13.0,2.0,13.0,46391.73724019115,7266,168,1,0,1,1,0.6308351109926005
ACC07959,0.9364993017875609,16.0,4.0,16.0,57364.88801568246,6870,959,0,0,1,1,0.6300019999000049
ACC08187,0.6029183100133566,16.0,4.0,16.0,108278.31939787719,9101,344,0,0,1,1,0.6300019999000049
ACC08525,0.5180706061210774,16.0,4.0,16.0,82190.70520557159,6803,545,0,0,1,1,0.6300019999000049
ACC08022,0.2201601293328484,14.0,2.0,14.0,20180.383577146655,3668,708,0,0,1,1,0.6300015624023498
ACC01585,0.4368915896094505,14.0,2.0,14.0,41599.79713181405,7356,726,0,0,1,1,0.6300015624023498
ACC06733,0.2704269547008316,14.0,2.0,14.0,31870.48005847933,7266,168,0,0,1,1,0.6300015624023498
ACC00936,0.42252998393128427,14.0,2.0,14.0,38104.73215252713,5073,591,0,0,1,1,0.6300015624023498
ACC09941,0.4437503520222495,14.0,2.0,14.0,33723.95304477596,3568,865,0,0,1,1,0.6300015624023498
ACC02199,1.600491961072308,8.0,12.0,8.0,86494.55513755488,6870,959,2,2,1,1,0.629994000299985
ACC06769,0.3928245973137616,14.0,3.0,14.0,47159.83567764837,6870,959,1,0,1,1,0.6297079583553908
ACC07196,0.6937380144028608,14.0,3.0,14.0,54918.22467086683,6803,545,1,0,1,1,0.6297079583553908
ACC03492,0.2814818368030922,14.0,3.0,14.0,40416.383009950405,7266,168,1,0,1,1,0.6297079583553908
ACC09236,0.4408797224329135,15.0,3.0,15.0,54673.6964477426,4657,406,0,0,1,1,0.6291685184156436
ACC07065,0.5038518332689319,15.0,3.0,15.0,69397.17454487622,3568,865,0,0,1,1,0.6291685184156436
ACC04759,0.8813936944750574,15.0,3.0,15.0,102853.78539941968,1773,90,0,0,1,1,0.6291685184156436
ACC06671,1.3368746109209855,18.0,7.0,18.0,156302.81727170225,3568,865,0,0,1,1,0.6290022399104036
ACC02543,1.0475328219459146,19.0,9.0,19.0,142763.01471357307,3568,865,0,0,1,1,0.6282165815506588
ACC08747,1.2344484638251265,19.0,9.0,19.0,186792.84772917235,5615,410,0,0,1,1,0.6282165815506588
ACC08015,0.41601645134243215,16.0,6.0,16.0,47075.254365272,5018,678,1,0,1,1,0.6254570246806963
ACC08157,0.8851278929619206,16.0,6.0,16.0,155780.78775537355,3568,865,1,0,1,1,0.6254570246806963
ACC07299,1.0876045189582617,17.0,6.0,17.0,96803.44602626377,9101,344,0,0,1,1,0.6253283552889005
ACC02960,0.5485339254353375,17.0,6.0,17.0,79097.51771641306,2535,424,0,0,1,1,0.6253283552889005
ACC00290,0.7360563715384262,17.0,6.0,17.0,92306.56954658536,5826,257,0,0,1,1,0.6253283552889005
ACC04679,0.8779179630980294,6.0,6.0,6.0,43142.941919396864,1453,312,1,3,1,1,0.6250083326389466
ACC07475,0.5109312407401015,12.0,1.0,12.0,19007.551010419153,6075,63,0,0,1,1,0.6246165679563109
ACC08036,0.26983124909366707,12.0,1.0,12.0,17824.485858693708,8492,679,0,0,1,1,0.6246165679563109
ACC06368,0.3186913620331421,12.0,1.0,12.0,33693.35358252205,3568,865,0,0,1,1,0.6246165679563109
ACC01329,0.36265277946773783,12.0,1.0,12.0,28828.93901027467,6200,433,0,0,1,1,0.6246165679563109
ACC00085,0.1843808179251468,12.0,1.0,12.0,14395.23406168282,6200,433,0,0,1,1,0.6246165679563109
ACC05326,0.23676046000008477,12.0,1.0,12.0,21129.401405282963,5018,678,0,0,1,1,0.6246165679563109
ACC05378,0.25885080977496105,12.0,1.0,12.0,28015.345509501018,5018,678,0,0,1,1,0.6246165679563109
ACC03977,2.069612965153743,8.0,13.0,8.0,116582.80340047056,2535,424,1,2,1,1,0.6238036283986477
ACC00685,0.7796494867669883,17.0,8.0,17.0,114538.04652250672,5073,591,1,0,1,1,0.6235025598976042
ACC09569,1.2236657247413092,12.0,6.0,12.0,119613.06755616181,4657,406,1,1,1,1,0.6233370368312872
ACC02802,1.0726878206075925,15.0,5.0,15.0,93091.33657759523,6803,545,1,0,1,1,0.6225024998750063
ACC04165,1.047494241108072,16.0,5.0,16.0,147882.6904426466,6870,959,0,0,1,1,0.6223832198466739
ACC04365,0.6235377181624964,16.0,5.0,16.0,54901.80889519264,3668,708,0,0,1,1,0.6223832198466739
ACC09452,1.0166267811555973,16.0,5.0,16.0,114151.28982650508,6870,959,0,0,1,1,0.6223832198466739
ACC08149,2.180592002481136,5.0,13.0,5.0,108399.44092971503,2535,424,1,2,1,1,0.6219364201988778
ACC09087,2.3632720322225227,9.0,12.0,9.0,140991.93089492002,2535,424,1,2,1,1,0.6217802723679825
ACC07423,1.021714152878673,13.0,8.0,13.0,135380.3709291771,8492,679,1,1,1,1,0.6213131517546784
ACC07705,0.22017696173588194,13.0,2.0,13.0,10420.763445281053,3668,708,0,0,1,1,0.6208351109926005
ACC08961,0.3487610876445519,13.0,2.0,13.0,35584.92507492967,4657,406,0,0,1,1,0.6208351109926005
ACC09919,0.326794494473606,13.0,2.0,13.0,41667.399328410764,5077,376,0,0,1,1,0.6208351109926005
ACC06566,0.41743034133837587,13.0,2.0,13.0,31582.55419937622,3792,232,0,0,1,1,0.6208351109926005
ACC03695,0.27568603402077474,13.0,2.0,13.0,26739.952757292227,3668,708,0,0,1,1,0.6208351109926005
ACC09528,0.348000795808813,14.0,4.0,14.0,36356.51678213833,5077,376,1,0,1,1,0.6205580245541914
ACC09147,0.33016142555522393,14.0,4.0,14.0,31591.275935110156,3038,126,1,0,1,1,0.6205580245541914
ACC09204,0.6022234383112272,15.0,4.0,15.0,87607.23259499461,6870,959,0,0,1,1,0.6203969527919583
ACC09235,0.4608204528064251,15.0,4.0,15.0,67124.90032727185,5077,376,0,0,1,1,0.6203969527919583
ACC00544,0.5292306875706327,15.0,4.0,15.0,64000.83179793293,5073,591,0,0,1,1,0.6203969527919583
ACC05376,1.302527440510812,15.0,4.0,15.0,61744.165224002674,6870,959,0,0,1,1,0.6203969527919583
ACC03459,0.4805789875157259,15.0,4.0,15.0,56769.84052033084,9101,344,0,0,1,1,0.6203969527919583
ACC02187,0.6693489731215128,15.0,4.0,15.0,101392.22011863897,4657,406,0,0,1,1,0.6203969527919583
ACC02082,0.32831175344661634,13.0,3.0,13.0,16366.146525469792,6803,545,1,0,1,1,0.6200023436035248
ACC00583,0.8498679190323755,13.0,3.0,13.0,72024.53793901122,5826,257,1,0,1,1,0.6200023436035248
ACC00270,0.47783541481490266,14.0,3.0,14.0,75888.49815252474,8946,401,0,0,1,1,0.6197079583553908
ACC02359,0.41079743337454433,14.0,3.0,14.0,54576.82192755222,6803,545,0,0,1,1,0.6197079583553908
ACC09285,0.4167703777820581,14.0,3.0,14.0,57587.158532841175,3668,708,0,0,1,1,0.6197079583553908
ACC09440,0.4302516140885504,14.0,3.0,14.0,37438.275603184535,8492,679,0,0,1,1,0.6197079583553908
ACC07176,0.36295602427293416,14.0,3.0,14.0,24709.664013987527,5073,591,0,0,1,1,0.6197079583553908
